Numero total de variables: 3

Var: N -> Valor: 1.0
Var: Prom -> Valor: 0.0
Var: I -> Valor: 1.0
Label: Inicio0 -> Valor: 4
Label: Fin0 -> Valor: 6
0	Token: Inicio-de-programa		Tipo: INICIOPROG
1	Token: Leer		Tipo: LEER
2	Token: N		Tipo: IDENTIFICADOR
3	Token: Prom		Tipo: IDENTIFICADOR
4	Token: =		Tipo: EQUALS
5	Token: 0.0		Tipo: FLOAT
6	Token: I		Tipo: IDENTIFICADOR
7	Token: =		Tipo: EQUALS
8	Token: 0.0		Tipo: FLOAT
9	Token: Mientras		Tipo: MIENTRAS
10	Token: I		Tipo: IDENTIFICADOR
11	Token: <		Tipo: OP_RELACIONAL
12	Token: N		Tipo: IDENTIFICADOR
13	Token: Inicio		Tipo: INICIO
14	Token: Prom		Tipo: IDENTIFICADOR
15	Token: =		Tipo: EQUALS
16	Token: Prom		Tipo: IDENTIFICADOR
17	Token: +		Tipo: OPERATOR
18	Token: Calificacion		Tipo: IDENTIFICADOR
19	Token: I		Tipo: IDENTIFICADOR
20	Token: =		Tipo: EQUALS
21	Token: I		Tipo: IDENTIFICADOR
22	Token: +		Tipo: OPERATOR
23	Token: 1.0		Tipo: FLOAT
24	Token: Fin		Tipo: FIN
25	Token: Fin-de-programa		Tipo: FINPROG

Veredicto final del parser: true
